org_name	addr	contact_phone
福林診所	台北市中山北路五段685號	228314146
育生牙醫診所	台北市中山北路五段699巷2之1號	228313677
惠眾中醫診所	台北市中山北路五段699巷2號	28336191
賴牙醫診所	台北市中山北路六段161號	228345872
嘉民牙醫診所	台北市中山北路六段168號	228315661
台美診所	台北市中山北路六段192號	28369595
賓大牙醫診所	台北市中山北路六段214號	28342255
鄭福山婦產科診所	台北市中山北路六段256號	28385428
梁如蘭眼科診所	台北市中山北路六段266號	228338539
張虔熙小兒科診所	台北市中山北路六段282號	02-28361368
天晴診所	台北市中山北路六段292號	02-28355329
楊是韻皮膚科診所	台北市中山北路六段298號	28359777
士東中醫診所	台北市中山北路六段300號	28352376
吳如壽診所	台北市中山北路六段322號	228347118
吳方棟牙醫診所	台北市中山北路六段405巷62號	28762020
永安診所	台北市中山北路六段405巷63號	28735068
永信牙醫診所	台北市中山北路六段421號	228747234
東杏診所	台北市中山北路六段431之2號	02-28712011
士東牙醫診所	台北市中山北路六段433號	228715423
吳俊昇眼科診所	台北市中山北路六段434號	228734987
廖宥程齒顎矯正專科診所	台北市中山北路六段442號	02-28730555
宏誠牙醫診所	台北市中山北路六段450巷7弄1號	228739533
林佳宏小兒科診所	台北市中山北路六段462號	228744591
傅家義牙醫診所	台北市中山北路六段470號	228755119
天泉牙醫診所	台北市中山北路六段726號	28738711
天母耳鼻喉科診所	台北市中山北路六段744號	228738873
志明眼科診所〈士東聯合診所〉	台北市中山北路六段776巷82號	28743105
信恩復健科診所〈士東聯合診所〉	台北市中山北路六段776巷82號	28743105
維育牙醫診所	台北市中正路120號	2885-5032
悅庭牙醫診所	台北市中正路172號	(02)28342727
承新中醫診所	台北市中正路203號	28815566
榮庚皮膚科診所	台北市中正路210之2號	228342633
上品小兒科診所	台北市中正路219號	2883-7273
何敦恥診所	台北市中正路221號	228812836
愛齒牙醫診所	台北市中正路234號	228342841
陳慶成牙醫診所	台北市中正路240號	228333452
謝宏基耳鼻喉科診所	台北市中正路249之3號	228819168
士林小兒科診所	台北市中正路249號	28812485
士林仁愛婦產科診所	台北市中正路272號	228326658
優儷芙生活診所	台北市中正路300號	28363314
端容牙醫診所	台北市中正路320號	228313248
黃耀明診所	台北市中正路322號	228320657
寶安中醫診所	台北市中正路407號	28825335
揚德健康診所	台北市中正路436號	28362868
臺北市立聯合醫院附設士林中醫門診部	台北市中正路439號	28836268
臺北市立聯合醫院附設士林門診部	台北市中正路439號	228813039
正齡牙醫診所	台北市中正路452號	28339903
同慶中醫診所	台北市中正路615號	02-28163032
健原診所	台北市中正路627號	228116409
佳視得眼科診所	台北市天母北路11之1號	02-28756230
信誼牙醫診所	台北市天母北路12之1號	228727225
仰德中醫診所	台北市天母北路18號	28751600
天母雙合耳鼻喉科診所	台北市天母北路21號	28711813
國聯牙醫診所	台北市天母北路32號	28724051
天母許內科家醫科診所	台北市天母北路49號	228729367
威廉牙醫診所	台北市天母北路87巷2弄3號	228748013
天母忠明2020眼科診所	台北市天母西路10號	28732020
戴得育牙醫診所	台北市天母西路27號	02-28761168
劉牙醫診所	台北市天母西路28號	228731457
嚴永強牙醫診所	台北市天母西路39號	228733272
健群牙醫診所	台北市天母西路3號	228719781
昇陽牙醫診所	台北市天母西路40之1號	228748099
杏美皮膚科診所	台北市天母西路40之1號	228715431
格子牙醫診所	台北市天母西路40之1號	28715520
嘉華牙醫診所	台北市天母西路56號	28715010
林崇民牙醫診所	台北市天母西路60號	228736488
永芳牙醫診所	台北市天母東路1之2號	228711339
邱瑋光牙醫診所	台北市天母東路1之1號	02-28765211
三船牙醫診所	台北市天母東路1之2號	228736170
劉定國牙醫診所	台北市天母東路43巷4弄2號	228736585
大蘋果牙醫診所	台北市天母東路45之1號	228741215
天方中醫診所	台北市天母東路47之1號	28727388
鄭文韶牙醫診所	台北市天母東路63號	228735335
三愛牙醫診所	台北市天母東路69巷1之1號	28733372
天母英明診所	台北市天母東路69巷7號	228745958
彭志綱牙醫診所	台北市天母東路77號	02-28769322
柯佑民小兒科診所	台北市天母東路8巷19弄5號	228766955
美加牙醫診所	台北市天母東路8巷21之1號	28743311
佑成牙醫診所	台北市天母東路8巷27號	228727999
凱健牙醫診所	台北市天母東路8巷27號	228728116
旺德牙醫診所	台北市天母東路8巷37號	28760616
歐彥君中醫診所	台北市天母東路8巷38號	28711655
美齊牙醫診所	台北市天母東路8巷75號	
大偉牙醫診所	台北市天玉街38巷10號	28767658
天母麥茵茲美形診所	台北市天玉街38巷20號	02-28719188
林葉牙醫診所	台北市天玉街38巷20號	228735702
家庭醫師張正弘診所	台北市天玉街38巷9號	228747399
璀燦精品牙醫診所	台北市天玉街41號	28721239
天玉牙醫診所	台北市天玉街81巷4號	02-28727843
和彩牙醫診所	台北市文昌路12號	28315550
林志聰皮膚科診所	台北市文昌路26號	28327989
新光醫療財團法人新光吳火獅紀念醫院	台北市文昌路95號	228332211
發興牙醫診所	台北市文林路146號	228828430
淨美皮膚科診所	台北市文林路148號	28816099
晶美整形外科診所	台北市文林路176號	28832208
怡德診所	台北市文林路342號	28838099
澄隆中醫診所	台北市文林路410號	28805629
維美牙醫診所	台北市文林路428號	28820228
元群眼科診所	台北市文林路437號	2888-1711
李文達婦產科診所	台北市文林路458號	228321171
存德小兒科診所	台北市文林路460號	228342567
士林麗生時尚美學診所	台北市文林路466號	28358618
信愛中醫診所	台北市文林路478號	228349339
何英世婦產科診所	台北市文林路482號	228317152
榮清耳鼻喉科診所	台北市文林路483號	02-28316878
祥瑞牙醫診所	台北市文林路487號	228335611
士林眼科診所	台北市文林路488之1號	228364668
延年診所	台北市文林路506號	(02)28312985
崇生中醫診所	台北市文林路519號	02-28342839
許秋華中醫診所	台北市文林路527號	02-28380109
鄭文彥牙醫診所	台北市文林路678號	28330799
邱世昌診所	台北市文林路718號	228343565
杏昌診所	台北市文林路736號	28355517
芝山牙醫診所	台北市至誠路二段66號	228368627
優德牙醫診所	台北市克強路13之1號	02-28365296
福臨牙醫診所	台北市志成街25號	28315148
葉眼科診所	台北市延平北路5段173號	02-28129595
合聖牙醫診所	台北市延平北路5段241號	28125358
存安堂中醫診所	台北市延平北路七段82號	228100443
鄭醫師診所	台北市延平北路五段120號	228127412
雅鄰牙醫診所	台北市延平北路五段125號	228127890
哲瑞牙醫診所	台北市延平北路五段135號	88113966
榮元外科診所	台北市延平北路五段162號	228122822
信美牙醫診所	台北市延平北路五段163巷7號	228118755
保晟中醫診所	台北市延平北路五段172號	28150510
慈田耳鼻喉科診所	台北市延平北路五段185號	228123595
龍安莊耳鼻喉科診所	台北市延平北路五段186號	28127158
光華牙醫診所	台北市延平北路五段186號	228124507
黃金喜婦產科診所	台北市延平北路五段201號	228118236
葉耳鼻喉科診所	台北市延平北路五段234號	228167318
悅展中醫診所	台北市延平北路五段243號	02-28128132
揚信牙醫診所	台北市延平北路五段244巷17號	228114498
周欽定牙醫診所	台北市延平北路五段277號	228121459
社子陳診所	台北市延平北路五段284號	228128426
蕭雨青小兒科診所	台北市延平北路五段292號	228126415
英倫牙醫診所	台北市延平北路五段305號	28168800
祐聖眼科診所	台北市延平北路五段316號	228118583
弘美牙醫診所	台北市延平北路六段126號	228111936
宏仁牙醫診所	台北市延平北路六段158號	28117543
永平牙醫診所	台北市延平北路六段176巷6弄1號	28121693
原德小兒科診所	台北市延平北路六段206號	228112966
蘇鴻輝牙醫診所	台北市延平北路六段76號	228119909
健群骨科診所	台北市延平北路六段8號	2816-8770
學府牙醫診所	台北市忠義街117之1號	228333896
劭陽牙醫診所	台北市忠義街117號	28313352
保齡牙醫診所	台北市忠義街81號	228356011
芝山診所	台北市忠義街82號	02-28362780
蘇惠珍皮膚專科診所	台北市忠義街83號	228383090
國維牙醫診所	台北市忠誠路1段84號	28344265
百安堂仁心中醫診所	台北市忠誠路2段40巷20號	28323002
立宸牙醫診所	台北市忠誠路2段42號	28336698
念華牙醫診所	台北市忠誠路一段100巷14號	228357311
天母品恆復健科診所	台北市忠誠路一段135號	2838-6855
達美牙醫診所	台北市忠誠路一段159號	02-28380201
盧金成婦產科診所	台北市忠誠路一段179號	228349704
大雅牙醫診所	台北市忠誠路一段186號	228331888
許牙醫診所	台北市忠誠路一段57號	28368346
佳樺牙醫診所	台北市忠誠路二段10巷4號	02-28319062
有仁牙醫診所	台北市忠誠路二段154巷13號	02-28737711
忠誠牙醫診所	台北市忠誠路二段1號	228310715
得安耳鼻喉科診所	台北市忠誠路二段3號	228382032
天母中醫診所	台北市忠誠路二段50巷4號	228368709
張松柏眼科診所	台北市忠誠路二段58號	228357668
麗心整形外科診所	台北市忠誠路二段64號	8866-3326
中美牙醫診所	台北市忠誠路二段64號	28312206
福華中醫診所	台北市忠誠路二段76巷8號	88665458
洪楷義耳鼻喉科診所	台北市忠誠路二段88號	228731386
徐光輝診所	台北市承德路四段10巷8號	28854278
君德本草中醫診所	台北市承德路四段181號	025-28839999
宗賢牙醫診所	台北市承德路四段236號	28883090
佑生診所	台北市承德路四段266巷4號	228816793
米蘭牙醫診所	台北市承德路四段281號	02-28816600
米蘭美學牙醫診所	台北市承德路四段281號	28815505
杏暉診所	台北市社子街15號	28117094
黃蓉聯合診所	台北市社子街26號	228111572
雙林皮膚科診所	台北市社子街28號	28111116
民軒牙醫診所	台北市社子街34號	02-28118736
平安診所	台北市社子街36之1號	28167263
陳文良骨科診所	台北市社子街36號	28136301
仁佑中醫診所	台北市社子街42號	88115240
李世澤小兒科內科診所	台北市社子街67號	228111472
社子黃牙醫診所	台北市社子街7號	228116715
科安診所	台北市社中街116號	02-28110699
吳錫麟診所	台北市社中街266號	28165071
和謙耳鼻喉科診所	台北市社中街362號	28165678
粱耳鼻喉科診所	台北市社正路12之1號	228168456
博浩牙醫診所	台北市社正路23號	228161988
畢士大中醫診所	台北市前港街108號	28837925
政德中醫診所	台北市前街17號	02-28313689
喬森牙醫診所	台北市後港街18號	28858625
愛林診所	台北市後港街210號	28836881
王文豪診所	台北市美崙街66號	88665360
仁友皮膚科診所	台北市美德街22之1號	228385495
百齡診所	台北市重慶北路四段187號	28126892
華國牙醫診所	台北市重慶北路四段49巷47號	228125463
周怡宏小兒科診所	台北市基河路200號	28825200
光和牙醫診所	台北市基河路238之3號	228834040
源遠堂中醫診所	台北市基河路238號	28827666
韓偉骨科診所	台北市基河路250號	28810556-1129
佑康診所	台北市通河街100號	28859598
吳婦產科診所	台北市通河街117號	28856509
永泰牙醫診所	台北市通河街119號	28852892
安玉牙醫診所	台北市通河街141巷10號	28857892
博信牙醫診所	台北市通河街173號	28853220
德泰耳鼻喉科診所	台北市通河街42之1號	28851570
林博通醫師診所	台北市通河街60號	28851148
可潔牙醫診所	台北市通河街62號	02-28866062
廖正義診所	台北市通河街90號	28857472
華崗文化診所	台北市菁山路26號	28626188
明和中醫師診所	台北市華榮街40號	228365108
新民牙醫診所	台北市華齡街14號	228815897
安寧診所	台北市華齡街2巷5號	228815367
廣都牙醫診所	台北市華齡街49號	228815516
百齡中醫診所	台北市華齡街57號	28818827
人仁牙醫診所	台北市華齡街69號	02-28821323
顏居雲中醫診所	台北市華齡街72號	28817722
華齡診所	台北市華齡街74號	228825650
福國牙醫診所	台北市福國路15巷12號	228338642
博格牙醫診所	台北市福國路95號	28325510
普濟中醫診所	台北市福國路98之5號	28363365
柏齡診所	台北市福港街105號	28831310
長虹牙醫診所	台北市福港街121號	228817752
何小兒科診所	台北市福港街176號	228827401
遠東中醫診所	台北市福港街272巷1號	228823522
世安牙醫診所	台北市福港街49號	28816182
芝音中醫診所	台北市福華路128巷10號	02-28368810
亮顏美學牙醫診所	台北市福華路158號	02-28322699
天母芝美時尚診所	台北市福華路159號	88664098
榮耕新醫美診所	台北市福華路164巷6號	02-28315512
倍爾牙醫診所	台北市劍潭路60號	02-28856910
張俊祥皮膚科診所	台北市劍潭路6號	28856501
天母康健身心診所	台北市德行西路100號	02-28378787
指筌中醫診所	台北市德行西路102號	02-88666146
元順診所	台北市德行西路106號	228340633
嘉櫻小兒科診所	台北市德行西路119號	88666202
祐德中醫診所	台北市德行西路121號	228378053
亨皓牙醫診所	台北市德行西路123號	228315773
家福牙醫診所	台北市德行西路68號	228322112
林政毅牙醫診所	台北市德行西路74號	02-28371981
博政骨科診所	台北市德行西路99號	28361990
忠誠聯合診所	台北市德行東路109巷102弄6號	288661176
易元堂中醫診所	台北市德行東路109巷91號	228340862
天母楊診所	台北市德行東路132巷3弄1號	228362295
宸安復健科診所	台北市德行東路153號	28377775
洛杉磯牙醫診所	台北市德行東路172號	88666988
一春堂中醫診所	台北市德行東路187之1號	28321239
德行牙醫診所	台北市德行東路187號	228331650
美安耳鼻喉科診所	台北市德行東路197之1號	2837-8755
天御中醫診所	台北市德行東路215號	28339549
經緯牙醫診所	台北市德行東路275號	228333199
揚明牙醫診所	台北市德行東路310號	228336006
瑞陽牙醫診所	台北市德行東路355號	228366664
第一牙醫診所	台北市德行東路46巷4弄3號	228359352
何啟溫診所	台北市德行東路63號	228373890
聖林牙醫診所	台北市德行東路67號	28336120
慶仁牙醫診所	台北市德行東路6號	228351597
天母皮膚科診所	台北市德行東路90巷33弄10號	28326601
泓景中醫診所	台北市德行東路90巷3號	28343225
長茂牙醫診所	台北市磺溪街41號	28366566
廣安診所	台北市大龍街177巷3號	225926735
吳震鵬牙醫診所	台北市大龍街183號	225960793
蔡健生內、神經科診所	台北市大龍街187巷30號	225924458
夏凱納生活診所	台北市五原路15號	02-25558313
良朋牙醫診所	台北市天水路32號	225561649
英士牙醫診所	台北市太原路154之11號	225580512
桂林內科診所	台北市太原路62號	225589728
欣樺牙醫診所	台北市太原路75號	225555901
美麗晶華診所	台北市民生西路126號	2558-9933
晶悅美學牙醫診所	台北市民生西路138號	25593671
康華骨科診所	台北市民生西路138號	25597277
南方牙醫診所	台北市民生西路210號	225583324
華源堂中醫診所	台北市民生西路318號	225557585
世宗中醫診所	台北市民生西路71號	2553-1488
雙連宏福中醫診所	台北市民生西路78號	25526033
欣華牙醫診所	台北市民生西路123號	02 25538921
一聖堂中醫診所	台北市民生西路154號	02 25566096
立全牙醫診所	台北市民生西路321之2號	25536628
宜康復健科診所	台北市民族西路124號	25851555
永新聯合牙醫診所	台北市民族西路156號	225971935
光庭耳鼻喉科診所	台北市民族西路167號	25957315
久豐牙醫診所	台北市民族西路236號	225918586
和田診所	台北市民族西路31巷6號	02-25993385
元天中醫診所	台北市民族西路42之1號	25690856
天喜牙醫診所	台北市民族西路138號	25950752
大龍峒耳鼻喉科診所	台北市民族西路223之5號	225951475
朱世輝耳鼻喉科診所	台北市民權西路106號	225535016
正德中醫診所	台北市民權西路125號	(02)25933658
劍橋牙醫診所	台北市民權西路144 巷13號	225572858
仁偉牙醫診所	台北市民權西路144巷1,3號	225538658
陳潮宗中醫診所	台北市民權西路147號	02 25935882
中華民國防癆協會第一胸腔病防治所	台北市民權西路104號	25538828
鈞生診所	台北市甘州街28號	225570048
建順診所	台北市甘州街51號	25573250
邵外科診所	台北市西寧北路13之1號	225523879
西寧安泰牙醫診所	台北市西寧北路15號	225527121
建成牙醫診所	台北市西寧北路51之1號	225593999
張獻瑞婦產科診所	台北市西寧北路9號	225523175
宏嘉牙醫診所	台北市赤峰街11號	225580267
黃博裕小兒科診所	台北市赤峰街49巷21號	225592440
林仲皮膚科診所	台北市延平北路2段20號	02-25525138
祐銓骨科診所	台北市延平北路2段242號	2553-3060
重慶堂中醫診所	台北市延平北路2段88之1號	02-25554575
保春安耳鼻喉科診所	台北市延平北路一段135號	25590352
永達牙醫診所	台北市延平北路一段155號	225584675
平安中醫診所	台北市延平北路一段62號	225595265
周承良耳鼻喉科診所	台北市延平北路一段22號	225590862
周皮膚科診所	台北市延平北路一段26號	25583143
朝陽牙醫診所	台北市延平北路二段109號	225563168
長興牙醫診所	台北市延平北路二段124號	02-25538935
雅晴牙醫診所	台北市延平北路二段127號	25529757
章牙醫診所	台北市延平北路二段144巷13之1號	225536730
林志宏中醫診所	台北市延平北路二段14號	25500568
博群牙醫診所	台北市延平北路二段219號	225509452
宏偉牙醫診所	台北市延平北路二段243號	225579580
大橋張耳鼻喉科診所	台北市延平北路二段270號	225956102
福進牙醫診所	台北市延平北路二段61巷20號	02-25508938
正和復健科診所	台北市延平北路二段80號	25527628
美堅牙醫診所	台北市延平北路三段115號	225922688
維明牙醫診所	台北市延平北路三段34號	225914437
順然牙醫診所	台北市延平北路三段81號	225960012
廣順中醫診所	台北市延平北路三段82號	225968873
永東牙醫診所	台北市延平北路三段27號	0225974066  85961189
龍德中醫診所	台北市承德路一段20號	25557258
旭揚牙醫診所	台北市承德路一段41巷12號	225594028
伊甸診所	台北市承德路一段66號	25509121
濟仁診所	台北市承德路一段70號	225556485
明山牙醫診所	台北市承德路一段88號	225568816
宏麗牙醫診所	台北市承德路二段81號	25553085
三德牙醫診所	台北市承德路三段100號	02 25963497
控八控控中醫診所	台北市承德路三段148之1號	2592-1130
健生中醫診所	台北市承德路三段151號	25921123
名柏牙醫診所	台北市承德路三段247巷26號	25913756
忻安牙醫診所	台北市昌吉街122號	25957885
順天堂中醫診所	台北市昌吉街79號	02-25911829
臺北市立聯合醫院附設大同門診部	台北市昌吉街52號	225948971
曾鳳飛牙醫診所	台北市長安西路117號	225558527
羅源彰診所	台北市長安西路137號	25552500
瑞和牙醫診所	台北市長安西路246號	25566474
春寧診所	台北市長安西路35號	25492000
建成診所	台北市長安西路82號	25500712
梅約內科診所	台北市長安西路88號	25557728
梅約診所	台北市長安西路88號	25557728
廣博診所	台北市長安西路二二O巷5號	25594775
林昭安診所	台北市保安街35號	225533665
博裕牙醫診所	台北市保安街3之3號	2553-8992
陳重熙內科小兒科診所	台北市保安街3之4號	225535505
夏立雲診所	台北市保安街43號	225539416
包眼科診所	台北市保安街54之1號	225537526
保全診所	台北市保安街64號	225577037
聖心婦產科診所	台北市保安街1之1號	25531346
哲安牙醫診所	台北市南京西路167巷3之3號	225598032
文山堂牙醫診所	台北市南京西路185巷5之2號	225582000
京水堂中醫診所	台北市南京西路22號	25585592
佳麗寶診所	台北市南京西路22號	25561118
樂芙美形診所	台北市南京西路22號	25550685
康鉑牙醫診所	台北市南京西路267號	2555-7107
南西司鉑診所	台北市南京西路30號	77288872
永欣診所	台北市南京西路30號	25711009
和泰內科診所	台北市南京西路406號	25590575
時尚元素診所	台北市南京西路41號	25506602
台一牙醫診所	台北市南京西路61號	225590918
台北聖仁皮膚科診所	台北市南京西路71號	25558688
南西尚安醫美診所	台北市南京西路88號	25508718
新林牙醫診所	台北市哈密街113號	225923254
朱華民中醫診所	台北市哈密街59巷56弄51號	225951976
保順中醫診所	台北市哈密街99號	02 25941456
趙黎海診所	台北市哈密街67號	225862385
傑品牙醫診所	台北市哈蜜街59巷31弄1號	225996717
莊雅惠中醫診所	台北市迪化街一段141號	25535009、25556452
迪化中醫診所	台北市迪化街一段315號	25538522
痔安診所	台北市重慶北路2段13號	02-25523688
安世中醫診所	台北市重慶北路一段102號	225592699
張漢權內科診所	台北市重慶北路一段92號	225505999
濟民中醫診所	台北市重慶北路二段106號	25531203
蔡皮膚科診所	台北市重慶北路二段115號	225575287
英瑞牙醫診所	台北市重慶北路二段115號	02 25575287
御聖堂中醫診所	台北市重慶北路二段121號	25557236     25539670
林國昭婦產科診所	台北市重慶北路二段165號	225571789
杜瑞煙牙醫診所	台北市重慶北路二段183之1號	225539010
欣恩牙醫診所	台北市重慶北路二段235之5號	25579166
欣容牙醫診所	台北市重慶北路二段235號	225577918
松興堂中醫診所	台北市重慶北路二段35號	25562779
匯川中醫診所	台北市重慶北路二段42號	02-25555335
正和中醫診所	台北市重慶北路二段51號	02-25599595
人生中醫診所	台北市重慶北路二段74號	25566634及0800568999
森田牙醫診所	台北市重慶北路二段8號	02-25591100
正記中醫診所	台北市重慶北路二段102號	225530685
逸松外科診所	台北市重慶北路二段190號	25530955
國泰婦產科診所	台北市重慶北路二段123號	225535055
全生中醫診所	台北市重慶北路二段184號	225531397
延平耳鼻喉科診所	台北市重慶北路二段235之4號	25536612
羅志弘診所	台北市重慶北路三段115號	225921666
慶吉診所	台北市重慶北路三段209號	25973896
柯敏達耳鼻喉科診所	台北市重慶北路三段250之1號	225912176
黃眼科診所	台北市重慶北路三段256號	225933039
陳欽銘中醫內科診所	台北市重慶北路三段25巷2號	225940683
王佳文內兒科診所	台北市重慶北路三段274之1號	225932555
大龍牙醫診所	台北市重慶北路三段278之1號	25956621
大翔牙醫診所	台北市重慶北路三段278之1號	2599-3738
施小兒科診所	台北市重慶北路三段28號	225941935
陳月琴中醫診所	台北市重慶北路三段32號	225868507
澤康診所	台北市重慶北路三段71號	25960922
松柏牙醫診所	台北市重慶北路三段96號	02-25866938
天一中醫診所	台北市重慶北路三段98號	25925151
余自興眼科診所	台北市重慶北路三段213號	225959320
大同耳鼻咽喉科診所	台北市重慶北路三段250之4號	02 25975833
杏仁牙醫診所	台北市酒泉街193號	225956554
澤民診所	台北市酒泉街104號	225963539
李牙醫診所	台北市酒泉街86號	02 25997711
路易牙醫診所	台北市華陰街43號	25522665
京站全人牙醫診所	台北市華陰街59號	25525652
頌華中醫診所	台北市華陰街63號	932648053.1
明昇中醫診所	台北市萬全街26號	25503912
立安中醫診所	台北市萬全街64之1號	02-25520022
全品牙醫診所	台北市寧夏路110之3號	225575513
春生堂中醫診所	台北市寧夏路138號	225530279
陳澄宏眼科診所	台北市寧夏路24之6號	02 25585133
臺北市立聯合醫院	台北市鄭州路145號	25523234
和陽中醫診所	台北市錦西街38巷34號	25572336
楊基中醫診所	台北市錦西街50之1號	02-25533253
泓斌中醫診所	台北市錦西街53巷10號	25490083
黃隆慶婦產科診所	台北市歸綏街181號	25573289
大仁牙醫診所	台北市雙連街54號	225576035
信陽中醫診所	台北市蘭州街59號	225942417
北秀醫美整形外科診所	台北市光復南路116巷5號	66131313
中山醫療社團法人杏群診所	台北市 仁愛路4段112巷12號	27547700
八千代診所	台北市大安路1段101巷10號	27781665/27215700
全新大安診所	台北市大安路1段101巷10號	02-27526063
旭彤診所	台北市大安路1段101巷10號	27216819
佛牙昌牙醫診所	台北市大安路1段101巷1號	02-87732735
里昂國際牙醫診所	台北市大安路1段133號	27783311/27783266
安信牙醫診所	台北市大安路1段189號	27010470
欣華安中醫診所	台北市大安路1段215號	27036508
奇璞光經方中醫診所	台北市大安路1段220巷11號	27002707
昕彤診所	台北市大安路1段65號	02-27720341
願麗忠孝醫美診所	台北市大安路1段84巷2號	02-27317133
來家牙醫診所	台北市大安路2段162號	27550608
偉明牙醫診所	台北市大安路一段141號	227516768
名爵醫學診所	台北市大安路一段157巷5號	27065268
及人牙醫診所	台北市大安路一段170號	227086512
博全婦產科診所	台北市大安路一段18號	227774437
璟德牙醫診所	台北市大安路一段206巷16號	223255180
林青穀家庭醫學科診所	台北市大安路一段2之1號	227317557
慶祥牙醫診所	台北市大安路一段52巷19號	27314686
頂好牙醫診所	台北市大安路一段59號	227215915
復髮診所	台北市大安路一段73號	227525511
海德堡牙醫診所	台北市大安路一段80號	27218282
長松眼科診所	台北市大安路一段一二六巷1號	27402102
大安春暉診所	台北市大安路一段180號	27001399
當代漢醫苑中醫診所	台北市大安路一段73號	227718936
劉建宏診所	台北市大安路二段139號	02-2700-2368
守禮牙醫診所	台北市大安路二段17號	227042857
謝林診所	台北市大安路二段21號	227066266
力仁牙醫診所	台北市大安路二段27巷1號	227053466
大地牙醫診所	台北市大安路二段120號	227023732
養齡診所	台北市仁愛路3段125號	27781383
哈利路亞曾英欽診所	台北市仁愛路3段29號	227115573
晴天身心精神科診所	台北市仁愛路4段 151巷21號	02-87716545
安爵時尚醫美診所	台北市仁愛路4段105巷1號	2741-2819
好萊塢診所	台北市仁愛路4段105巷5號	02-27717771
聖緹雅醫美整形外科診所	台北市仁愛路4段107號	02-27526580
賽爾拉雅特時尚診所	台北市仁愛路4段122巷26號	27553899
大元診所	台北市仁愛路4段151巷19號	02-27212367
里約風診所	台北市仁愛路4段27巷31號	2781-9398
逸品牙醫診所	台北市仁愛路4段27巷4弄16號	27111002
台北亞緻診所	台北市仁愛路4段2號	27067585
願麗醫美診所	台北市仁愛路4段33號	27311732
周孫隆牙醫診所	台北市仁愛路4段447號	27752203
仁一牙醫診所	台北市仁愛路4段449號	02-27730222
懿安診所	台北市仁愛路4段4號	27018088
敦南牙醫聯合診所	台北市仁愛路4段4號	23257537
正誠牙醫診所	台北市仁愛路4段79號	87716277
洛城牙醫診所	台北市仁愛路三段25號	227319311
青田牙醫診所	台北市仁愛路三段26之3號	33225151
雅品牙醫診所	台北市仁愛路四段101號	227319155
微顏整形外科診所	台北市仁愛路四段107號	27728887
聖緹雅醫美皮膚科診所	台北市仁愛路四段109號	27755680
中山醫療社團法人中山醫院	台北市仁愛路四段112巷11號	02-27081166
杏群牙醫診所	台北市仁愛路四段112巷12號	27069691
名流牙醫診所	台北市仁愛路四段137號	227760577
柏生聯合診所	台北市仁愛路四段137號	27772079
日月星診所	台北市仁愛路四段137號	02-27791508
新慶生診所	台北市仁愛路四段151巷36號	87710288
劉志鴻婦產專科診所	台北市仁愛路四段25號	227785580
國泰醫療財團法人國泰綜合醫院	台北市仁愛路四段266巷6號	227082121
名祥牙醫診所	台北市仁愛路四段27巷4弄6號	227117376
